,address,id,lat,lng,location,name,subCategory,details
1226,Rivierenbuurt,29917,52.34652448654,4.8918001372503,Amsterdam,Rivierenbuurt,Neighborhood,http://tour-pedia.org/api/getPlaceDetails?id=29917
1227,Ferdinand Bolstraat 333,29918,52.348560015387,4.8927837610245,Amsterdam,Hotel Okura,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=29918
1229,Scheldeplein 3,29920,52.343729618307,4.891619682312,Amsterdam,Knijn Bowling,Bowling Alley,http://tour-pedia.org/api/getPlaceDetails?id=29920
1230,Ferdinand Bolstraat 24,29921,52.356816530228,4.890671,Amsterdam,Kingfisher Cafe,Pub,http://tour-pedia.org/api/getPlaceDetails?id=29921
1231,Gerard Douplein 14HS,29923,52.35587842617,4.8928798441906,Amsterdam,De Pilsvogel,Bar,http://tour-pedia.org/api/getPlaceDetails?id=29923
1232,Daniël Stalpertstraat 74,29924,52.356207,4.890877,Amsterdam,Café Gollem,Bar,http://tour-pedia.org/api/getPlaceDetails?id=29924
1233,Gerard Douplein 1,29925,52.356080534275,4.8926931389461,Amsterdam,Café Het Paardje,Bar,http://tour-pedia.org/api/getPlaceDetails?id=29925
1234,Albert Cuypstraat 130,29926,52.3555,4.89306,Amsterdam,De Groene Vlinder,Bar,http://tour-pedia.org/api/getPlaceDetails?id=29926
1235,Vijzelgracht 33HS,29927,52.361055764426,4.8915182079913,Amsterdam,Coffeeshop Mellow Yellow,Smoke Shop,http://tour-pedia.org/api/getPlaceDetails?id=29927
1236,Stadhouderskade 79,29929,52.357728881014,4.8925371046524,Amsterdam,Heineken A/Stad2,Office,http://tour-pedia.org/api/getPlaceDetails?id=29929
1237,Eerste van der Helststraat 51HS,29930,52.355009700002,4.8933310086029,Amsterdam,Flinck,Bar,http://tour-pedia.org/api/getPlaceDetails?id=29930
1238,Eerste van der Helststraat 37H,29931,52.355459,4.8931062729518,Amsterdam,Flamingo,Pub,http://tour-pedia.org/api/getPlaceDetails?id=29931
1239,Europaplein,29932,52.341632130958,4.8912119865417,Amsterdam,Europaplein - Amsterdam RAI,Plaza,http://tour-pedia.org/api/getPlaceDetails?id=29932
1240,Ferdinand Bolstraat 333,29933,52.348582953598,4.8927676677704,Amsterdam,Twenty Third Bar,Hotel Bar,http://tour-pedia.org/api/getPlaceDetails?id=29933
